"career.stage","personality.experience","country","personality.definition","personality.interpretation","repeatability.interpretation","repeatability.consistency","repeatability.comparison","single.measurements","unpartitioned.data","personality.data","comments","personality.definition.2","personality.interpretation.2","repeatability.interpretation.2","repeatability.comparison.2"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Master student (or earlier stage)","No","Sweden","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","Yes","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","Yes, as a co-author","The Netherlands","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","N/A","e) Both b) and c) are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Master student (or earlier stage)","No","UK","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","d) Three previous options are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","Sweden","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","I do not know","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Norway","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","Yes","e) Both b) and c) are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Master student (or earlier stage)","No","Colombia","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","e) Both b) and c) are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","The ability of individuals to display similar behaviours across multiple contexts after repeated testing.","No","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Germany","Between-individual differences in behavior that are stable over time and consistent over contexts","d) I do not know the answer","behavioral tests with the same individual in the same context at two different times (at least)","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"other","d) I do not know the answer","other","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","individuals may have limited plasticity in behavioural expression relative to their population","consistency of individual its behavior relative to others in the population","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","other","other","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual","I generally do not find the phrase ""animal personality"" to be useful because it is a loaded term taken from psycholofy. It is always more clear and accurate to refer to ""consistent between-individual differences across time and contexts""","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","I do not know","e) I do not know the answer","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","e) I do not know the answer","Yes","I do not know","c) Repeated behavioural measurements per individual","Very interested in the results of this study and many thanks for conducting this research, was a slog to get through all the go-to papers in this field to try to find consistent definitions.","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","e) I do not know the answer"
"PhD researcher","Yes, as a co-author","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","UK","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","Consistent between-individual differences in dispositions to express whole suites of correlated behaviours across time and/or contexts","d) I do not know the answer","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","d) Three previous options are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","other","d) I do not know the answer","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Germany","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","In some situations, (a) could apply, but it's not a cover-all, as there could be personality without limitations to plasticity.  Similarly, (b) does not always apply (e.g., could have same means across contexts but with different reaction norms).  The cause of the differences could be genetic or environmental (or epigenetic/maternal effects) or a combination, that result in types which conform with the definition in Q1, above.","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","other","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","I am not sure","India","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a co-author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a co-author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","The literal repetability coefficient R that we use refers to the relative amount of inter-individual variance compared to intra-individual variance","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","other","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Sweden","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","Yes","No","e) Both b) and c) are correct","I detest the term animal personality. Traits vary, whether size or shape or immunity or behavior. Traits are correlated. Behavior is a trait. This is just a fancy name applied to phenotypic variance. ","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","I am not sure","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","UK","Stop using the term. Several other options would be better.","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","e) Both b) and c) are correct",NA,"other","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","USA","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual","I have always thought of 'animal personality' as a broad term incorporating all aspects of consistent individual differences in behaviour (e.g. behavioural types, behavioural syndromes, predictability, within-individual consistency etc.). In other words, animal personality describes all aspects of consistent individual differences in behaviour and the expression of those differences. ","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","Yes","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"PhD researcher","No","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Canada","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","No","d) Neither interpretations a) nor b) can be made","Yes","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Turkey","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","Yes","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","e) I do not know the answer","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","India","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","France","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","e) I do not know the answer","Yes","No","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","No","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","d) I do not know the answer","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Czechia","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual","no","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","I am not sure","Spain","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","N/A","N/A","d) Three previous options are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"PhD researcher","No","Germany","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","e) I do not know the answer","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","e) I do not know the answer"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","No","I do not know","b) A single behavioural measurement per individual if the focal behaviour is repeatable",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Spain","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
